period,power,significance,peaks
0.5,1.6969323149991098e-17,6.2617262329055805,0
0.75,2.6218000627122557e-17,6.265673474196294,0
1.0,3.6472933379545896e-17,6.2690020390161045,0
1.25,4.822984178857111e-17,0.443973878574241,0
1.5,6.21456775973828e-17,6.274587620290991,0
1.75,7.911188982680333e-17,0.25911792244797127,0
2.0,1.0035497206996841e-16,6.279298317698441,0
2.25,1.2757577657735505e-16,0.21295912786269788,0
2.5,1.6314336918310309e-16,0.177667026400249,0
2.75,2.1036517033035578e-16,0.2768775891607358,0
3.0,2.7386338771394214e-16,6.287204456348547,0
3.25,3.600991233787872e-16,0.18379657778515004,0
3.5,4.781011574655849e-16,0.7716064253321596,0
3.75,6.404777950384068e-16,0.17791705301197913,0
4.0,8.648193667227468e-16,6.29387348353909,0
4.25,1.1756387641262724e-15,0.20019906743178284,0
4.5,1.6070514799782396e-15,0.21348335124716358,0
4.75,2.20646998183054e-15,3.1036617579592702,0
5.0,3.0396865166818725e-15,0.44594295394327416,0
5.25,4.197852468122201e-15,0.16978095752671604,0
5.5,5.80704292410765e-15,0.1942935124609033,0
5.75,8.041337748031898e-15,0.559972672050218,0
6.0,1.1140675788992327e-14,6.305069045619132,0
6.25,1.543517410630072e-14,0.6423205977529515,0
6.5,2.1378184990418875e-14,0.23593927405867166,0
6.75,2.9591137086173304e-14,0.16668300767081917,0
7.0,4.0924234524545926e-14,0.17001896365987934,0
7.25,5.653844989814084e-14,0.23349534200695346,0
7.5,7.801604769139728e-14,0.44682948549563706,0
7.75,1.0750925017181486e-13,1.4332325523035805,0
8.0,1.4793978367459507e-13,6.3145155260857715,0
8.25,2.0326614699198244e-13,1.5727081066099453,0
8.5,2.7884081819307886e-13,0.5478728921992949,0
8.75,3.8188663825951157e-13,0.30301517515725507,0
9.0,5.221307622419211e-13,0.21422585834543892,0
9.25,7.126464685312507e-13,0.1768439572651494,0
9.5,9.709685514335791e-13,0.16317966873091683,0
9.75,1.3205679924908741e-12,0.16444923608736384,0
10.0,1.792797381264764e-12,0.17878092176515203,0
10.25,2.429451741897438e-12,0.20854455469924207,0
10.5,3.2861320421815452e-12,0.2610897364539297,0
10.75,4.436653263109524e-12,0.353008508795648,0
11.0,5.9788086817153516e-12,0.5226284097213508,0
11.25,8.041890960918492e-12,0.8685092626675844,0
11.5,1.079648372506899e-11,1.6806070899392815,0
11.75,1.4467180717860045e-11,3.778813486527293,0
12.0,1.934907106192006e-11,6.330379693934615,0
12.250000000000002,2.582905804830292e-11,3.9050391442803405,0
12.5,3.441336696262749e-11,1.8902889426014085,0
12.75,4.5762959055591126e-11,1.0629252747484603,0
13.0,6.073902146717385e-11,0.6880497103578527,0
13.25,8.046126817761739e-11,0.4926875537682162,0
13.5,1.0638249100474967e-10,0.37941411125633123,0
13.75,1.4038367398613402e-10,0.3084975905809723,0
14.0,1.8489506749796374e-10,0.26160656760925005,0
14.25,2.430499563613242e-10,0.22940663666986297,0
14.5,3.188795044600901e-10,0.20676165308033487,0
14.75,4.175590834782444e-10,0.19066786974063696,0
15.0,5.457189745230146e-10,0.17928285325071186,0
15.25,7.118353628754408e-10,0.1714348635473699,0
15.5,9.26721239548042e-10,0.1663598091288156,0
15.75,1.2041413105123586e-09,0.16355317275936102,0
16.0,1.5615804503558225e-09,0.1626833362229555,0
16.25,2.0212018032744463e-09,0.16353935211843257,0
16.5,2.6110385425314397e-09,0.1659989522625776,0
16.75,3.366472795984151e-09,0.17000901075476335,0
17.0,4.332066614902513e-09,0.17557408337690245,0
17.25,5.563823434380199e-09,0.18275053493188614,0
17.5,7.131974622830255e-09,0.19164487300503694,0
17.75,9.124404875498197e-09,0.20241560169637277,0
18.0,1.1650852861486182e-08,0.2152783916050041,0
18.25,1.4848050238312056e-08,0.23051474859367826,0
18.5,1.8885993524467517e-08,0.24848472972194527,0
18.75,2.397558006461944e-08,0.2696446604498067,0
19.0,3.037788220798304e-08,0.29457131221827215,0
19.25,3.841538370358086e-08,0.3239946743100345,0
19.5,4.848556013614899e-08,0.3588423918225784,0
19.75,6.10772520078307e-08,0.4003002722001019,0
20.0,7.679035592196417e-08,0.44989516673388624,0
20.25,9.635944743533252e-08,0.5096092546352027,0
20.5,1.2068204977800015e-07,0.5820385960601097,0
20.75,1.508523771242534e-07,0.6706140599622299,0
21.0,1.8820151081481587e-07,0.779909365076075,0
21.25,2.3434511329388212e-07,0.9160678708352032,0
21.5,2.9123994895923615e-07,1.0873823752741225,0
21.75,3.6125066503571854e-07,1.3050465061220526,0
22.0,4.472284903227723e-07,1.584023724557412,0
22.25,5.526037364890785e-07,1.943752502692222,0
22.5,6.814942365963297e-07,2.407799992142264,0
22.75,8.388321296273363e-07,3.0001792827146914,0
23.0,1.0305116985927746e-06,3.7335273975521672,0
23.249999999999996,1.2635612935668208e-06,4.582369267277591,0
23.5,1.5463427195882148e-06,5.4424711686456195,0
23.75,1.888781842063509e-06,6.1117803366095345,0
24.0,2.302634557796302e-06,6.366275311014786,0
24.25,2.8017926959715085e-06,6.122970063783416,0
24.500000000000004,3.4026348474279614e-06,5.508413751585422,0
24.749999999999996,4.124427568463887e-06,4.740676526253138,0
25.0,4.989782862258854e-06,3.988393795571795,0
25.25,6.025178300576374e-06,3.3319528737208306,0
25.5,7.261546603231294e-06,2.790401273119874,0
25.750000000000004,8.734941933938759e-06,2.354430542502522,0
26.0,1.048729058817504e-05,2.0060570009947982,0
26.249999999999996,1.2567234129556253e-05,1.7272285633989648,0
26.5,1.5031073362335725e-05,1.502656592394956,0
26.750000000000004,1.794382179364373e-05,1.3202392823064848,0
27.0,2.1380377423129183e-05,1.1706671752542182,0
27.25,2.542682178123057e-05,1.0468524062737048,0
27.5,3.0181855100470085e-05,0.9434038012012124,0
27.75,3.575837632571165e-05,0.8562042748960328,0
28.0,4.2285216326972766e-05,0.782088740982865,0
28.25,4.9909032149087015e-05,0.7186044373073802,0
28.5,5.8796369392840105e-05,0.6638342044663026,0
28.75,6.913589884874256e-05,0.6162663553954174,0
29.0,8.114083227451267e-05,0.5746985625732195,0
29.249999999999996,9.505152069889517e-05,0.5381664796199802,0
29.5,0.00011113823682777573,0.5058903669189811,0
29.75,0.0001297041410062147,0.47723487615671456,0
30.0,0.00015108842773805205,0.4516785090522011,0
30.25,0.00017566964697312618,0.428790237258785,0
30.5,0.00020386919123609366,0.40821146245137113,0
30.749999999999996,0.00023615493619132932,0.38964198904892977,0
31.0,0.0002730450184232383,0.37282903516438093,0
31.25,0.0003151117300760535,0.35755856143718395,0
31.5,0.0003629855055657653,0.34364838131400155,0
31.75,0.00041735897088232397,0.33094265036244286,0
32.0,0.00047899102108578265,0.31930743054693334,0
32.25,0.0005487108865187322,0.3086270980712543,0
32.5,0.0006274221430731849,0.29880141747798955,0
32.75,0.000716106616637507,0.2897431452267297,0
33.0,0.000815828126693247,0.2813760565545978,0
33.25,0.0009277360090278773,0.27363331265070717,0
33.5,0.0010530683527825505,0.26645610293296973,0
33.75,0.0011931548826766905,0.2597925108749839,0
34.0,0.0013494194133642523,0.25359656240178174,0
34.25,0.001523381799605116,0.24782742410205746,0
34.5,0.001716659303408609,0.24244872494627007,0
34.75,0.0019309672976546394,0.23742798027022874,0
35.0,0.0021681192250500867,0.23273610079538565,0
35.25,0.002430025731758121,0.22834697264713633,0
35.5,0.002718692896762711,0.2242370968815412,0
35.75,0.0030362194811055735,0.22038527907737732,0
36.0,0.003384793125649796,0.21677236120082974,0
36.25,0.0037666854320572577,0.21338098928689916,0
36.5,0.00418424586926857,0.21019541156888,0
36.75,0.004639894456972987,0.20720130257520106,0
37.0,0.005136113188353176,0.20438560944089557,0
37.25,0.0056754361667554635,0.201736417280046,0
37.5,0.006260438444811612,0.19924283096035442,0
37.75,0.006893723569824734,0.19689487103109723,0
38.0,0.007577909855801854,0.19468338189680018,0
38.25,0.008315615420201223,0.192599950613554,0
38.5,0.009109442042063903,0.1906368349231007,0
38.75,0.009961957917478803,0.18878689933982865,0
